map,cute_name,lat,long,url,other
Trains and Planes,Aeroporto Internazionale di Napoli,40.878222,14.280369,"https://maps.apple.com/?ll=40.878222,14.280369&q=Municipalit%C3%A0%207%20%E2%80%94%20Naples&spn=0.008682,0.020262&t=h","No notes"
Trains and Planes,Roma Termini,41.900829,12.501976,"https://maps.apple.com/?address=Rome,%20Italy&auid=10123168443047743539&ll=41.900829,12.501976&lsp=9902&q=Roma%20Termini","No notes"
Trains and Planes,Via Palestro 51,41.904641,12.504386,"https://maps.apple.com/?address=Via%20Palestro%2051,%2000185%20Rome,%20Italy&auid=12208839912856235995&ll=41.904641,12.504386&lsp=9902&q=YellowSquare","No notes"
Day 1,Via Palestro 51,41.904641,12.504386,"https://maps.apple.com/?address=Via%20Palestro%2051,%2000185%20Rome,%20Italy&auid=12208839912856235995&ll=41.904641,12.504386&lsp=9902&q=YellowSquare","No notes"
Day 1,Via Palestro 51,41.904641,12.504386,"https://maps.apple.com/?address=Via%20Palestro%2051,%2000185%20Rome,%20Italy&auid=12208839912856235995&ll=41.904641,12.504386&lsp=9902&q=YellowSquare","No notes"
Day 1,Via Nazionale 195,41.89933,12.49108,"https://maps.apple.com/?address=Via%20Nazionale%20195,%2000184%20Rome,%20Italy&auid=1481274158771338&ll=41.899330,12.491080&lsp=9902&q=Via%20Nazionale","No notes"
Day 1,Palazzo delle Esposizioni,41.899422,12.490243,"https://maps.apple.com/?address=Via%20Nazionale%20194,%2000184%20Rome%20RM,%20Italy&auid=8681192056981339454&ll=41.899422,12.490243&lsp=9902&q=Palazzo%20delle%20Esposizioni","No notes"
Day 1,Basilica Papale di Santa Maria Maggiore,41.897625,12.498466,"https://maps.apple.com/?address=Piazza%20di%20Santa%20Maria%20Maggiore%2028,%2000185%20Rome,%20Italy&auid=4296638174262829964&ll=41.897625,12.498466&lsp=9902&q=Basilica%20Papale%20di%20Santa%20Maria%20Maggiore","No notes"
Day 1,Piazza della Repubblica,41.902696,12.496229,"https://maps.apple.com/?address=Piazza%20della%20Repubblica,%20Piazza%20della%20Repubblica,%2000185%20Rome,%20Italy&auid=15728893051687367836&ll=41.902696,12.496229&lsp=9902&q=Piazza%20della%20Repubblica","No notes"
Day 1,Via XX Settembre 17,41.904713,12.494202,"https://maps.apple.com/?address=Via%20XX%20Settembre%2017,%2000187%20Rome,%20Italy&auid=10106187853390805272&ll=41.904713,12.494202&lsp=9902&q=Santa%20Maria%20della%20Vittoria%20Church","No notes"
Day 1,Trevi Fountain,41.900987,12.483269,"https://maps.apple.com/?address=Piazza%20di%20Trevi,%2000187%20Rome,%20Italy&auid=587740357591710012&ll=41.900987,12.483269&lsp=9902&q=Trevi%20Fountain","No notes"
Day 1,Largo Visconti Venosta 228C,41.894722,12.493603,"https://maps.apple.com/?address=Monti,%20Rome,%20Italy&auid=2444030399301339641&ll=41.894722,12.493603&lsp=6489&q=Monti","No notes"
Day 1,Via Urbana 136,41.896898,12.494642,"https://maps.apple.com/?address=Via%20Urbana,%2000184%20Rome,%20Italy&ll=41.896898,12.494642&q=Via%20Urbana","No notes"
